road_id,max_speed,light_vehicle_count,heavy_vehicle_count,average_speed
10,50,1000,100,44
11,50,1000,100,44
12,50,1000,100,44
13,50,1000,100,44
21,30,500,60,28
22,30,500,60,28
23,30,500,60,28
30,30,500,60,28
31,0,0,0,0
32,30,500,60,28
33,30,500,60,28
41,20,100,0,20
42,20,100,0,20
43,0,0,0,0
51,0,0,0,0
52,20,100,0,20
53,20,100,0,20
60,30,500,60,28
100,30,500,60,28
101,30,500,60,28
200,30,500,60,28
201,0,0,0,0
202,0,0,0,0
203,0,0,0,0
300,30,500,60,28
301,30,500,60,28
302,0,0,0,0
303,0,0,0,0
304,30,500,60,28
400,30,500,60,28
401,30,500,60,28
402,30,500,60,28
403,30,500,60,28
404,20,100,0,20
500,50,1000,100,44
501,50,1000,100,44
502,50,1000,100,44
